epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1033.32,0.43693,0.58697,0.96819,0.83234,0.74284,0.85254,0.76608,0.47568,0.58737,0.53805,0.005743,0.005743,0.005743
45,1054.55,0.43551,0.57987,0.96949,0.90186,0.68912,0.84624,0.76653,0.44048,0.55938,0.5024,0.005644,0.005644,0.005644
46,1074.3,0.44715,0.57719,0.96702,0.87374,0.7233,0.84926,0.7642,0.52216,0.59669,0.5955,0.005545,0.005545,0.005545
47,1096.96,0.44946,0.58409,0.97328,0.83063,0.68438,0.82013,0.72867,0.52659,0.62747,0.5913,0.005446,0.005446,0.005446
48,1118.14,0.42669,0.57299,0.96437,0.90782,0.68805,0.8481,0.77002,0.44819,0.56786,0.50724,0.005347,0.005347,0.005347
49,1138.89,0.42749,0.57146,0.9664,0.89691,0.71285,0.84554,0.76589,0.47759,0.5737,0.52175,0.005248,0.005248,0.005248
50,1159.67,0.43201,0.58614,0.96901,0.85166,0.7102,0.84822,0.74407,0.50714,0.65972,0.57258,0.005149,0.005149,0.005149
51,1180.86,0.40565,0.55441,0.95482,0.89197,0.69009,0.83368,0.75527,0.46664,0.59736,0.51609,0.00505,0.00505,0.00505
52,1222.77,0.4193,0.56042,0.96107,0.89686,0.72723,0.85509,0.76559,0.4818,0.56239,0.54385,0.004951,0.004951,0.004951
53,1268.36,0.43667,0.56195,0.96926,0.89218,0.72853,0.86307,0.78083,0.47618,0.57485,0.52727,0.004852,0.004852,0.004852
54,1327.5,0.41529,0.5638,0.96211,0.92121,0.69435,0.8518,0.78226,0.45635,0.55895,0.5033,0.004753,0.004753,0.004753
55,1353.5,0.41276,0.54653,0.95631,0.90804,0.72923,0.87634,0.8029,0.45424,0.57485,0.50192,0.004654,0.004654,0.004654
56,1374.33,0.42994,0.56832,0.96872,0.89175,0.70274,0.84523,0.77902,0.45038,0.57958,0.51497,0.004555,0.004555,0.004555
57,1393.89,0.40383,0.55914,0.95684,0.88282,0.72399,0.85455,0.78766,0.4342,0.54948,0.48299,0.004456,0.004456,0.004456
58,1449.9,0.41213,0.55399,0.95701,0.87441,0.70367,0.85843,0.77724,0.47364,0.6134,0.5252,0.004357,0.004357,0.004357
59,1472.84,0.41291,0.55716,0.95639,0.90361,0.71666,0.85526,0.77139,0.45479,0.56534,0.50323,0.004258,0.004258,0.004258
60,1493.77,0.41029,0.53699,0.95532,0.88096,0.74658,0.87338,0.80226,0.4447,0.55098,0.50487,0.004159,0.004159,0.004159
61,1514.65,0.39896,0.5381,0.95172,0.84933,0.7571,0.87646,0.8083,0.44786,0.54823,0.49817,0.00406,0.00406,0.00406
62,1535.13,0.39837,0.54073,0.9441,0.88801,0.74149,0.87375,0.79892,0.42992,0.54659,0.49033,0.003961,0.003961,0.003961
63,1590.16,0.40374,0.54013,0.9497,0.91743,0.71639,0.87547,0.80136,0.42048,0.54774,0.48315,0.003862,0.003862,0.003862
64,1613.54,0.3971,0.54618,0.95012,0.82261,0.77457,0.86908,0.79203,0.43784,0.56214,0.49307,0.003763,0.003763,0.003763
65,1633.03,0.38366,0.53291,0.94813,0.91336,0.73423,0.87841,0.8054,0.43708,0.52191,0.48894,0.003664,0.003664,0.003664
66,1651.8,0.39518,0.52115,0.95196,0.92071,0.7444,0.88561,0.81108,0.42998,0.52356,0.49138,0.003565,0.003565,0.003565
