epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6562,1.24979,2.57258,1.87289,0.42559,0.55484,0.48685,0.40305,0.80119,1.97012,1.12515,0.0702857,0.00330159,0.00330159
2,27.563,0.53446,1.21642,1.1241,0.59983,0.71258,0.67159,0.53036,0.84691,1.3042,1.33869,0.04022,0.00656923,0.00656923
3,40.2612,0.5347,0.96591,1.10283,0.46585,0.80112,0.47935,0.38451,0.80132,1.74436,1.24221,0.0100883,0.00977088,0.00977088
4,52.8307,0.51088,0.89286,1.07494,0.48829,0.94289,0.75801,0.66307,0.49033,1.83645,0.75815,0.009703,0.009703,0.009703
5,65.4043,0.46725,0.7886,1.04992,0.77416,0.6893,0.77931,0.55327,0.82787,1.10985,1.31783,0.009604,0.009604,0.009604
6,77.9979,0.42919,0.72731,1.02717,0.8202,0.75815,0.81857,0.7484,0.3491,0.59776,0.57961,0.009505,0.009505,0.009505
7,90.6225,0.40035,0.68736,1.00835,0.53332,0.79395,0.74386,0.66601,0.42637,2.0465,0.6418,0.009406,0.009406,0.009406
8,103.344,0.3794,0.65015,1.00041,0.5052,0.94991,0.7476,0.65522,0.46369,1.29569,0.69912,0.009307,0.009307,0.009307
9,115.888,0.36104,0.6317,0.9856,0.6172,0.42473,0.41892,0.36577,0.53008,3.2501,0.79619,0.009208,0.009208,0.009208
10,128.435,0.35238,0.62399,0.98071,0.86551,0.75658,0.83781,0.76312,0.36603,0.59864,0.60667,0.009109,0.009109,0.009109
11,140.948,0.334,0.58905,0.96848,0.81576,0.82218,0.87958,0.84915,0.30027,0.50838,0.39928,0.00901,0.00901,0.00901
12,153.519,0.32132,0.57211,0.96338,0.70793,0.70635,0.72789,0.6678,0.38342,0.6592,0.5901,0.008911,0.008911,0.008911
13,166.021,0.30989,0.56564,0.96259,0.84866,0.7332,0.81782,0.77804,0.29802,0.5129,0.40756,0.008812,0.008812,0.008812
14,178.554,0.29504,0.55478,0.95565,0.72235,0.81427,0.85904,0.84087,0.253,0.56031,0.3511,0.008713,0.008713,0.008713
15,191.34,0.29533,0.56613,0.95491,0.73276,0.82161,0.83768,0.80243,0.28888,0.60634,0.38229,0.008614,0.008614,0.008614
16,204.073,0.29104,0.55485,0.95501,0.89987,0.7496,0.81035,0.78462,0.22475,0.50656,0.30699,0.008515,0.008515,0.008515
17,216.85,0.27909,0.54744,0.94905,0.88489,0.75177,0.82861,0.80789,0.23207,0.48312,0.31542,0.008416,0.008416,0.008416
18,229.862,0.27873,0.53741,0.94322,0.81467,0.80206,0.85811,0.82962,0.22114,0.51873,0.2924,0.008317,0.008317,0.008317
19,242.684,0.2662,0.51702,0.93914,0.84549,0.80507,0.87839,0.86277,0.20282,0.49684,0.29584,0.008218,0.008218,0.008218
20,255.674,0.26522,0.51696,0.94291,0.84554,0.76808,0.85477,0.8139,0.276,0.49371,0.38632,0.008119,0.008119,0.008119
21,268.737,0.25517,0.51183,0.93536,0.86126,0.80458,0.87976,0.84903,0.25431,0.47319,0.36988,0.00802,0.00802,0.00802
22,281.407,0.25141,0.5024,0.93806,0.83148,0.76786,0.84605,0.80004,0.3241,0.54618,0.48738,0.007921,0.007921,0.007921
23,293.92,0.2488,0.50402,0.93518,0.8693,0.77662,0.87548,0.86234,0.15194,0.47147,0.21498,0.007822,0.007822,0.007822
24,306.592,0.24411,0.50193,0.93367,0.87436,0.78953,0.86932,0.86253,0.1674,0.50683,0.24589,0.007723,0.007723,0.007723
25,319.962,0.23995,0.48349,0.93156,0.79017,0.76087,0.83426,0.8265,0.16649,0.55703,0.25428,0.007624,0.007624,0.007624
26,332.782,0.23251,0.4888,0.92781,0.64058,0.84117,0.83991,0.83559,0.19073,0.91288,0.28876,0.007525,0.007525,0.007525
27,345.96,0.23576,0.48657,0.92477,0.81908,0.8012,0.85742,0.8431,0.21571,0.44793,0.27569,0.007426,0.007426,0.007426
28,358.613,0.2259,0.4858,0.92613,0.69616,0.79827,0.87209,0.86095,0.17138,0.64379,0.25998,0.007327,0.007327,0.007327
29,371.32,0.2197,0.45159,0.91425,0.84813,0.77849,0.84929,0.83137,0.18533,0.45464,0.2696,0.007228,0.007228,0.007228
30,384.322,0.21956,0.4598,0.92291,0.87491,0.8172,0.85004,0.82239,0.19916,0.43914,0.31426,0.007129,0.007129,0.007129
31,396.958,0.21355,0.46268,0.92109,0.60111,0.74466,0.77122,0.74378,0.23809,0.7737,0.3287,0.00703,0.00703,0.00703
32,409.584,0.20777,0.45446,0.92648,0.91549,0.7949,0.87691,0.85656,0.18922,0.41379,0.27714,0.006931,0.006931,0.006931
33,422.489,0.21035,0.4685,0.92018,0.91729,0.80877,0.88494,0.86907,0.18286,0.4061,0.26239,0.006832,0.006832,0.006832
34,435.306,0.19893,0.46495,0.91356,0.5573,0.97859,0.83872,0.8071,0.27712,0.86934,0.43033,0.006733,0.006733,0.006733
35,447.911,0.20225,0.45783,0.91351,0.90846,0.8129,0.89251,0.86527,0.19561,0.39195,0.29238,0.006634,0.006634,0.006634
36,460.703,0.20165,0.42559,0.91679,0.82638,0.80354,0.88566,0.86698,0.17855,0.45907,0.24228,0.006535,0.006535,0.006535
37,473.379,0.19582,0.45551,0.91163,0.86162,0.78794,0.88587,0.86827,0.16548,0.43332,0.23383,0.006436,0.006436,0.006436
38,485.998,0.19107,0.43442,0.9196,0.89338,0.79327,0.87207,0.86512,0.1748,0.39827,0.22781,0.006337,0.006337,0.006337
39,498.601,0.19222,0.4526,0.90815,0.82436,0.74544,0.87642,0.86197,0.19995,0.53072,0.28939,0.006238,0.006238,0.006238
40,511.447,0.18731,0.43622,0.90987,0.85654,0.77568,0.88386,0.86736,0.19824,0.4188,0.26619,0.006139,0.006139,0.006139
41,524.227,0.18702,0.4277,0.91153,0.54493,0.98548,0.77331,0.75734,0.22288,1.15295,0.35963,0.00604,0.00604,0.00604
42,537.079,0.1864,0.42268,0.91127,0.86739,0.84117,0.9079,0.89978,0.1843,0.40045,0.24229,0.005941,0.005941,0.005941
43,550.341,0.18147,0.42474,0.90972,0.85045,0.82611,0.89981,0.88417,0.15744,0.40383,0.21775,0.005842,0.005842,0.005842
44,564.014,0.18117,0.43567,0.91192,0.7896,0.83106,0.87086,0.86164,0.15817,0.43722,0.2321,0.005743,0.005743,0.005743
45,576.815,0.17612,0.42215,0.90425,0.86715,0.83732,0.89812,0.88107,0.1694,0.43256,0.23938,0.005644,0.005644,0.005644
46,589.404,0.17556,0.41881,0.91038,0.46995,0.94801,0.72257,0.69976,0.30972,2.26478,0.5304,0.005545,0.005545,0.005545
47,602.159,0.17357,0.41875,0.90491,0.85672,0.83615,0.89981,0.89323,0.17983,0.37709,0.23945,0.005446,0.005446,0.005446
48,614.68,0.17161,0.42085,0.90546,0.85328,0.83106,0.89903,0.8919,0.17297,0.42019,0.23734,0.005347,0.005347,0.005347
49,627.265,0.17036,0.41476,0.89842,0.88505,0.80479,0.87615,0.87253,0.15681,0.44837,0.21424,0.005248,0.005248,0.005248
50,639.794,0.16714,0.41436,0.90484,0.87978,0.827,0.90842,0.90206,0.13805,0.40668,0.2084,0.005149,0.005149,0.005149
51,652.316,0.16545,0.41089,0.90489,0.57152,0.92782,0.81189,0.8033,0.17206,1.12827,0.24507,0.00505,0.00505,0.00505
52,664.888,0.16376,0.41154,0.90199,0.93074,0.81312,0.89769,0.87313,0.17563,0.41541,0.2309,0.004951,0.004951,0.004951
53,677.39,0.16177,0.39512,0.90196,0.84568,0.85852,0.90098,0.89657,0.17108,0.40119,0.22457,0.004852,0.004852,0.004852
54,689.979,0.15915,0.41041,0.90486,0.82979,0.88043,0.91629,0.90672,0.14944,0.34813,0.19995,0.004753,0.004753,0.004753
55,702.501,0.15867,0.42151,0.90093,0.80912,0.83733,0.89571,0.89218,0.13547,0.39365,0.205,0.004654,0.004654,0.004654
56,715.025,0.15507,0.3937,0.90381,0.91569,0.8382,0.91676,0.90989,0.12647,0.34961,0.20567,0.004555,0.004555,0.004555
57,727.864,0.15219,0.39773,0.89649,0.88943,0.80047,0.90231,0.88958,0.20183,0.42719,0.25317,0.004456,0.004456,0.004456
58,740.748,0.15339,0.41272,0.89978,0.87262,0.85983,0.92585,0.92204,0.12822,0.36375,0.18056,0.004357,0.004357,0.004357
59,753.757,0.14904,0.38355,0.89693,0.63852,0.9168,0.88895,0.8829,0.12207,0.67868,0.18355,0.004258,0.004258,0.004258
60,766.489,0.14838,0.38155,0.8988,0.88341,0.8464,0.9122,0.90419,0.14592,0.35093,0.20398,0.004159,0.004159,0.004159
61,779.07,0.14143,0.38191,0.89615,0.77698,0.86542,0.91247,0.90983,0.12136,0.47526,0.16132,0.00406,0.00406,0.00406
62,791.594,0.14216,0.39048,0.89648,0.76758,0.80142,0.89542,0.88354,0.18316,0.51219,0.23699,0.003961,0.003961,0.003961
63,804.098,0.13985,0.37883,0.89648,0.88516,0.83028,0.9011,0.89052,0.17099,0.40585,0.22422,0.003862,0.003862,0.003862
64,816.6,0.14066,0.38632,0.90003,0.91824,0.8328,0.92312,0.92112,0.11154,0.35434,0.15855,0.003763,0.003763,0.003763
65,829.103,0.13759,0.37059,0.89392,0.91881,0.82494,0.91926,0.90896,0.12477,0.35572,0.1744,0.003664,0.003664,0.003664
66,841.921,0.13473,0.37972,0.89469,0.78628,0.74843,0.87791,0.84893,0.27518,0.57844,0.38154,0.003565,0.003565,0.003565
67,854.82,0.13435,0.36242,0.89073,0.90267,0.80528,0.90506,0.89895,0.11184,0.36999,0.17059,0.003466,0.003466,0.003466
68,867.906,0.13158,0.37436,0.89413,0.85975,0.83185,0.91665,0.91316,0.11917,0.38988,0.20018,0.003367,0.003367,0.003367
69,880.54,0.12911,0.37842,0.88704,0.85383,0.86355,0.92207,0.91778,0.12351,0.38903,0.17324,0.003268,0.003268,0.003268
70,893.162,0.12842,0.37159,0.88931,0.88284,0.83185,0.92313,0.91193,0.13382,0.37181,0.20814,0.003169,0.003169,0.003169
71,905.872,0.1252,0.36854,0.89409,0.79613,0.80721,0.88245,0.88037,0.10918,0.4634,0.16883,0.00307,0.00307,0.00307
72,918.499,0.12866,0.36536,0.8902,0.87382,0.85946,0.92088,0.91825,0.11619,0.39022,0.17431,0.002971,0.002971,0.002971
73,931.317,0.12704,0.35358,0.89739,0.74915,0.78093,0.88569,0.86699,0.16001,0.5227,0.21572,0.002872,0.002872,0.002872
74,943.927,0.12117,0.33563,0.88885,0.84609,0.79332,0.90998,0.9082,0.11122,0.40142,0.16338,0.002773,0.002773,0.002773
75,956.464,0.11866,0.35162,0.89081,0.90345,0.82958,0.92041,0.89176,0.18712,0.413,0.24868,0.002674,0.002674,0.002674
76,969.199,0.11851,0.35635,0.89482,0.90761,0.85282,0.92525,0.92308,0.11143,0.36483,0.16833,0.002575,0.002575,0.002575
77,982.173,0.11781,0.34188,0.88927,0.88169,0.85057,0.91841,0.91677,0.09051,0.34115,0.14916,0.002476,0.002476,0.002476
78,995.038,0.11653,0.35767,0.8896,0.84085,0.87713,0.93069,0.92974,0.11274,0.37189,0.16099,0.002377,0.002377,0.002377
79,1008.01,0.11813,0.3628,0.89348,0.89339,0.85753,0.93136,0.92942,0.1088,0.31697,0.16283,0.002278,0.002278,0.002278
80,1020.69,0.11269,0.33869,0.88959,0.90442,0.85975,0.92986,0.92789,0.09058,0.29338,0.14361,0.002179,0.002179,0.002179
81,1033.33,0.11104,0.33376,0.88623,0.85625,0.84319,0.93201,0.92783,0.10185,0.40023,0.15398,0.00208,0.00208,0.00208
82,1045.87,0.11158,0.34276,0.89009,0.85557,0.87983,0.92899,0.92827,0.08727,0.35851,0.13069,0.001981,0.001981,0.001981
83,1058.39,0.1097,0.35562,0.88569,0.89547,0.85377,0.93968,0.93857,0.08433,0.29136,0.13289,0.001882,0.001882,0.001882
84,1070.93,0.10976,0.33168,0.88894,0.88949,0.87204,0.93154,0.93083,0.08331,0.32401,0.13134,0.001783,0.001783,0.001783
85,1083.42,0.10594,0.33005,0.89248,0.8776,0.86512,0.9359,0.93534,0.09298,0.3216,0.13984,0.001684,0.001684,0.001684
86,1095.95,0.10395,0.33557,0.88432,0.69486,0.86066,0.90383,0.90234,0.09922,0.50716,0.14287,0.001585,0.001585,0.001585
