epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1795.39,0.42644,0.55836,0.95925,0.86715,0.71586,0.83266,0.75618,0.48212,0.57689,0.54809,0.005743,0.005743,0.005743
45,1829.63,0.40565,0.54959,0.95616,0.86668,0.65709,0.83958,0.75156,0.47313,0.63789,0.53544,0.005644,0.005644,0.005644
46,1863.39,0.42281,0.57269,0.95918,0.88163,0.67908,0.84583,0.75218,0.5736,0.6308,0.66956,0.005545,0.005545,0.005545
47,1903.84,0.41363,0.53969,0.96127,0.87409,0.73895,0.8596,0.78028,0.4769,0.60227,0.53257,0.005446,0.005446,0.005446
48,1943.38,0.40607,0.54579,0.95868,0.84517,0.6857,0.8173,0.74588,0.45784,0.61973,0.51406,0.005347,0.005347,0.005347
49,1977.16,0.40389,0.55044,0.95588,0.83573,0.73547,0.83343,0.74957,0.50694,0.60332,0.5748,0.005248,0.005248,0.005248
50,2009.3,0.4233,0.5673,0.96055,0.85372,0.70141,0.84845,0.76332,0.45529,0.60554,0.5215,0.005149,0.005149,0.005149
51,2041.23,0.39636,0.53074,0.95567,0.82717,0.70163,0.83331,0.75064,0.52848,0.73459,0.58563,0.00505,0.00505,0.00505
52,2073.78,0.40624,0.54515,0.95842,0.88734,0.71649,0.84593,0.77122,0.46297,0.5754,0.51413,0.004951,0.004951,0.004951
53,2109.24,0.3977,0.52858,0.95325,0.82083,0.73528,0.8435,0.76533,0.46415,0.6002,0.52258,0.004852,0.004852,0.004852
54,2145.07,0.41751,0.53272,0.95366,0.87797,0.74932,0.86711,0.79227,0.46165,0.57596,0.50615,0.004753,0.004753,0.004753
55,2181.56,0.38714,0.52317,0.94499,0.79572,0.79574,0.8776,0.79941,0.45358,0.59345,0.49117,0.004654,0.004654,0.004654
56,2217.95,0.40464,0.53936,0.95513,0.87206,0.72714,0.86211,0.79301,0.42056,0.56076,0.46648,0.004555,0.004555,0.004555
57,2252.09,0.38509,0.5165,0.95219,0.77776,0.71078,0.83224,0.74912,0.43556,0.63866,0.49137,0.004456,0.004456,0.004456
58,2287.1,0.39473,0.52376,0.95143,0.82522,0.75326,0.85237,0.78426,0.43568,0.56519,0.48985,0.004357,0.004357,0.004357
59,2326.68,0.38173,0.51827,0.94409,0.84711,0.75962,0.87257,0.80414,0.42856,0.53804,0.47867,0.004258,0.004258,0.004258
60,2367.23,0.38515,0.51102,0.94808,0.85934,0.76386,0.85876,0.77633,0.48037,0.58186,0.53468,0.004159,0.004159,0.004159
61,2405.78,0.37663,0.51464,0.94168,0.9007,0.72455,0.86132,0.78987,0.43556,0.54984,0.48915,0.00406,0.00406,0.00406
62,2441.32,0.38052,0.50941,0.94076,0.90987,0.74179,0.87018,0.79757,0.43154,0.51968,0.47198,0.003961,0.003961,0.003961
63,2474.53,0.36973,0.50145,0.94042,0.80433,0.75436,0.86043,0.78735,0.43265,0.56654,0.48603,0.003862,0.003862,0.003862
64,2508.3,0.36756,0.50331,0.93859,0.88619,0.73058,0.86174,0.79585,0.43365,0.54182,0.48255,0.003763,0.003763,0.003763
