               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027337,           0.0097197,           0.0042221,             0.87745,             0.70378,             0.85223,             0.73783,            0.014178,             0.00496,           0.0026048,            0.006535,            0.006535,            0.006535
                  37,            0.027129,            0.009692,           0.0042638,             0.83263,             0.70386,              0.8342,             0.73339,            0.014014,           0.0052308,           0.0026004,            0.006436,            0.006436,            0.006436
                  38,            0.026404,            0.009373,           0.0044804,             0.89446,             0.68716,             0.84195,             0.74881,            0.013897,           0.0049794,           0.0023091,            0.006337,            0.006337,            0.006337
                  39,            0.026413,           0.0090913,           0.0042846,             0.88976,             0.70023,              0.8412,              0.7446,            0.013897,           0.0050377,           0.0024999,            0.006238,            0.006238,            0.006238
                  40,            0.026473,           0.0093111,           0.0040897,             0.86807,             0.72125,              0.8492,             0.76237,            0.013316,           0.0048678,           0.0022504,            0.006139,            0.006139,            0.006139
                  41,            0.026133,           0.0091254,           0.0040812,             0.87929,              0.7156,             0.85822,             0.75747,            0.013695,            0.005115,           0.0021475,             0.00604,             0.00604,             0.00604
                  42,            0.025862,           0.0088787,           0.0042729,             0.80546,             0.68217,             0.82527,             0.73429,            0.013263,           0.0052333,            0.002719,            0.005941,            0.005941,            0.005941
                  43,            0.025438,           0.0094438,           0.0042894,             0.92654,             0.68476,             0.84133,             0.73588,            0.013547,           0.0051777,           0.0023154,            0.005842,            0.005842,            0.005842
                  44,            0.025435,           0.0092065,           0.0041846,             0.89441,             0.66463,             0.83454,             0.72092,            0.013761,           0.0053078,           0.0027095,            0.005743,            0.005743,            0.005743
                  45,            0.025662,           0.0092239,           0.0042449,             0.86319,             0.71391,              0.8497,             0.75307,            0.014044,           0.0052966,           0.0022239,            0.005644,            0.005644,            0.005644
                  46,             0.02576,           0.0088825,           0.0040185,             0.83949,              0.7236,              0.8556,             0.76545,            0.013782,           0.0054201,           0.0021688,            0.005545,            0.005545,            0.005545
                  47,            0.025676,           0.0090332,           0.0039837,             0.88947,             0.68572,             0.83979,             0.73967,            0.013968,            0.005315,           0.0023446,            0.005446,            0.005446,            0.005446
                  48,            0.024762,           0.0086904,           0.0043212,             0.86504,             0.70566,             0.84921,             0.75626,            0.013188,           0.0051121,           0.0023083,            0.005347,            0.005347,            0.005347
                  49,            0.024783,           0.0087609,           0.0042614,             0.86498,             0.70639,             0.84368,              0.7464,            0.013128,           0.0049266,           0.0022612,            0.005248,            0.005248,            0.005248
                  50,            0.024174,           0.0088465,           0.0038301,             0.84135,             0.75195,              0.8585,             0.76247,             0.01291,           0.0051969,           0.0021545,            0.005149,            0.005149,            0.005149
                  51,            0.025073,           0.0086297,           0.0038477,              0.8689,             0.72181,             0.85056,             0.75287,            0.013182,           0.0051687,           0.0022956,             0.00505,             0.00505,             0.00505
                  52,            0.024367,           0.0085881,            0.003926,             0.89499,             0.69742,             0.86027,             0.74905,            0.013097,           0.0050021,           0.0022031,            0.004951,            0.004951,            0.004951
                  53,            0.023615,           0.0084524,           0.0039538,             0.85719,             0.71879,             0.85632,             0.76755,            0.013489,           0.0054169,           0.0022442,            0.004852,            0.004852,            0.004852
                  54,            0.024007,           0.0088608,           0.0036663,             0.90627,             0.70373,             0.85909,             0.76438,            0.013006,           0.0052091,           0.0020703,            0.004753,            0.004753,            0.004753
                  55,             0.02427,           0.0084238,           0.0038894,             0.88719,             0.69569,             0.84522,             0.75968,            0.012849,           0.0051924,           0.0023359,            0.004654,            0.004654,            0.004654
                  56,            0.024332,            0.008454,           0.0039234,             0.88854,             0.72572,             0.86021,             0.76854,            0.013195,           0.0053401,           0.0021175,            0.004555,            0.004555,            0.004555
                  57,            0.023191,           0.0084906,           0.0040149,             0.88145,             0.74473,             0.88162,             0.78121,            0.013087,           0.0053316,           0.0021128,            0.004456,            0.004456,            0.004456
                  58,            0.022706,           0.0080315,           0.0040547,             0.82554,             0.75776,             0.86219,             0.77463,            0.013197,           0.0052656,           0.0021192,            0.004357,            0.004357,            0.004357
                  59,            0.023734,           0.0084115,           0.0037843,             0.89916,             0.69882,             0.86027,             0.77687,            0.012797,           0.0053616,           0.0021374,            0.004258,            0.004258,            0.004258
                  60,            0.023152,           0.0082349,           0.0040498,             0.84327,             0.72729,             0.85512,             0.75739,            0.012882,           0.0050209,           0.0023913,            0.004159,            0.004159,            0.004159
                  61,            0.022917,            0.008251,           0.0037653,             0.88443,             0.72966,             0.86663,             0.77753,            0.012713,           0.0050672,           0.0020317,             0.00406,             0.00406,             0.00406
                  62,            0.023051,           0.0078517,           0.0038923,             0.89849,             0.70316,             0.84671,             0.76244,            0.012779,           0.0051958,           0.0021934,            0.003961,            0.003961,            0.003961
                  63,             0.02293,           0.0081661,           0.0038152,             0.88955,             0.70385,             0.84635,             0.76224,            0.013085,           0.0051965,           0.0022219,            0.003862,            0.003862,            0.003862
                  64,            0.022065,           0.0083809,           0.0037048,             0.88131,             0.70578,             0.86594,             0.78097,            0.012803,           0.0052488,           0.0021153,            0.003763,            0.003763,            0.003763
                  65,            0.022407,           0.0082981,           0.0038594,             0.91504,             0.67912,             0.85521,             0.77813,            0.012705,           0.0052841,           0.0022184,            0.003664,            0.003664,            0.003664
                  66,            0.022873,           0.0080514,           0.0037848,             0.72505,             0.70267,             0.82857,              0.7278,            0.012839,           0.0049259,           0.0034024,            0.003565,            0.003565,            0.003565
                  67,            0.022524,           0.0083533,           0.0037651,             0.87053,             0.69909,             0.85467,             0.77394,            0.013334,           0.0053087,            0.002278,            0.003466,            0.003466,            0.003466
                  68,            0.021828,           0.0079981,           0.0038211,             0.85846,             0.74168,             0.86061,             0.77467,            0.012799,           0.0053609,           0.0021484,            0.003367,            0.003367,            0.003367
                  69,            0.021579,           0.0079233,           0.0037952,             0.90907,             0.69961,             0.85609,             0.76969,             0.01288,           0.0052773,           0.0021619,            0.003268,            0.003268,            0.003268
                  70,             0.02202,           0.0081608,           0.0035545,             0.90089,             0.71594,              0.8528,             0.76877,             0.01282,           0.0051419,           0.0021444,            0.003169,            0.003169,            0.003169
                  71,            0.021525,           0.0078433,           0.0035766,             0.92186,              0.7069,             0.86358,             0.78394,            0.012473,           0.0051346,           0.0020864,             0.00307,             0.00307,             0.00307
                  72,            0.021743,           0.0080283,           0.0033151,             0.85312,              0.7376,             0.85857,             0.77931,            0.013006,           0.0054823,           0.0020653,            0.002971,            0.002971,            0.002971
                  73,            0.021311,           0.0076269,           0.0035135,             0.84411,             0.76245,             0.86544,             0.77411,            0.013185,           0.0053413,           0.0020705,            0.002872,            0.002872,            0.002872
                  74,            0.020641,           0.0074482,           0.0037205,             0.87407,             0.71501,              0.8641,             0.76769,            0.013348,           0.0054313,           0.0021224,            0.002773,            0.002773,            0.002773
                  75,            0.021215,           0.0077175,           0.0034566,             0.82842,             0.77133,               0.862,             0.77244,            0.012792,           0.0051795,           0.0022237,            0.002674,            0.002674,            0.002674
                  76,            0.020657,           0.0076829,           0.0035692,             0.83544,             0.76432,             0.86063,             0.78024,            0.012765,           0.0055136,           0.0021898,            0.002575,            0.002575,            0.002575
                  77,            0.020209,           0.0076172,           0.0035154,             0.81893,             0.74215,             0.86626,             0.78105,            0.012788,           0.0053278,           0.0021795,            0.002476,            0.002476,            0.002476
                  78,            0.020358,            0.007296,           0.0034226,             0.83985,             0.75259,             0.85631,             0.77564,            0.013146,           0.0052939,           0.0023668,            0.002377,            0.002377,            0.002377
                  79,            0.020665,           0.0077051,           0.0033697,             0.85045,             0.76162,             0.86743,             0.78822,             0.01269,           0.0052273,           0.0020534,            0.002278,            0.002278,            0.002278
                  80,            0.020071,           0.0075909,            0.003618,             0.92155,             0.70339,             0.86717,             0.78682,            0.012585,           0.0054175,           0.0020225,            0.002179,            0.002179,            0.002179
                  81,            0.020545,            0.007763,           0.0032282,             0.87267,             0.73175,             0.86338,              0.7844,            0.012644,           0.0054008,           0.0021376,             0.00208,             0.00208,             0.00208
                  82,            0.020102,            0.007378,           0.0034904,             0.86392,             0.72355,              0.8651,             0.77922,            0.012943,           0.0055643,           0.0021311,            0.001981,            0.001981,            0.001981
                  83,            0.019555,           0.0075625,           0.0036608,             0.87944,             0.74776,             0.86655,             0.78415,            0.012371,           0.0053912,           0.0020896,            0.001882,            0.001882,            0.001882
                  84,            0.019715,           0.0072949,           0.0035069,             0.88385,             0.74685,             0.86935,              0.7855,            0.012696,           0.0055512,           0.0020041,            0.001783,            0.001783,            0.001783
