               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0097303,           0.0052028,           0.0097388,             0.73992,             0.82106,             0.88262,             0.85962,           0.0017633,           0.0024279,           0.0049798,            0.006634,            0.006634,            0.006634
                  36,           0.0091171,           0.0053877,            0.010686,             0.57071,             0.92288,             0.81491,             0.76396,           0.0027286,           0.0022315,           0.0073186,            0.006535,            0.006535,            0.006535
                  37,            0.010261,            0.005313,            0.010069,             0.87358,             0.77558,             0.86774,             0.79119,           0.0030928,           0.0020552,           0.0038587,            0.006436,            0.006436,            0.006436
                  38,            0.010281,           0.0053322,            0.011108,             0.67235,             0.87384,             0.86712,             0.82652,           0.0021675,           0.0019002,           0.0064745,            0.006337,            0.006337,            0.006337
                  39,           0.0088086,           0.0052163,            0.010144,             0.87373,             0.77811,             0.87166,             0.84745,           0.0017722,           0.0021083,           0.0039782,            0.006238,            0.006238,            0.006238
                  40,            0.010159,           0.0051738,            0.011238,             0.85002,             0.80783,             0.88646,             0.86192,            0.001748,            0.002454,           0.0038361,            0.006139,            0.006139,            0.006139
                  41,           0.0090074,            0.005147,            0.010976,             0.88584,             0.78987,             0.88666,              0.8642,           0.0015607,           0.0021322,           0.0038441,             0.00604,             0.00604,             0.00604
                  42,           0.0091946,           0.0052384,           0.0099411,             0.90448,             0.79869,             0.88241,             0.83547,           0.0020868,           0.0022038,           0.0037439,            0.005941,            0.005941,            0.005941
                  43,            0.010385,           0.0052293,            0.010555,             0.89796,             0.79934,             0.89941,             0.88214,           0.0016854,           0.0023663,           0.0037375,            0.005842,            0.005842,            0.005842
                  44,           0.0097394,           0.0050629,            0.010614,             0.89511,             0.80196,             0.89214,             0.86158,           0.0023206,           0.0023395,           0.0036989,            0.005743,            0.005743,            0.005743
                  45,           0.0085244,            0.004971,            0.010941,             0.56584,             0.94709,             0.83229,             0.81084,           0.0017927,           0.0021235,           0.0086321,            0.005644,            0.005644,            0.005644
                  46,           0.0080492,           0.0047656,            0.010093,             0.85907,             0.80734,             0.88603,             0.85682,            0.001848,           0.0022327,           0.0036822,            0.005545,            0.005545,            0.005545
                  47,           0.0098889,            0.004982,           0.0099057,             0.83586,             0.82781,              0.9015,             0.83208,           0.0025748,           0.0021898,           0.0039246,            0.005446,            0.005446,            0.005446
                  48,            0.007746,           0.0050402,            0.009849,              0.9085,             0.78194,             0.89275,             0.85765,           0.0021414,           0.0021817,           0.0036037,            0.005347,            0.005347,            0.005347
                  49,            0.008187,           0.0047972,           0.0098799,             0.90496,             0.77335,             0.89328,             0.86865,           0.0017382,           0.0020647,           0.0036835,            0.005248,            0.005248,            0.005248
                  50,           0.0066212,           0.0045715,           0.0096292,             0.82669,             0.76374,             0.88145,             0.86322,           0.0019384,            0.002163,           0.0046241,            0.005149,            0.005149,            0.005149
                  51,           0.0078512,           0.0048245,           0.0094252,             0.80162,             0.87106,             0.90164,             0.88243,           0.0016183,           0.0021962,           0.0041927,             0.00505,             0.00505,             0.00505
                  52,           0.0072349,           0.0046132,            0.008896,             0.81398,             0.86508,             0.90858,             0.88303,           0.0018111,           0.0022913,           0.0034587,            0.004951,            0.004951,            0.004951
                  53,            0.008367,           0.0045984,           0.0098605,             0.86118,             0.82525,             0.90964,             0.89402,           0.0013666,           0.0024025,           0.0035339,            0.004852,            0.004852,            0.004852
                  54,           0.0077366,           0.0046381,            0.010301,             0.86121,             0.85107,             0.90999,             0.88165,           0.0016685,           0.0025324,           0.0034127,            0.004753,            0.004753,            0.004753
                  55,           0.0070211,           0.0046354,           0.0097528,             0.92106,              0.8247,             0.91063,             0.89451,           0.0016773,           0.0023187,           0.0036312,            0.004654,            0.004654,            0.004654
                  56,           0.0062601,           0.0044058,           0.0086449,             0.82977,             0.82485,             0.89761,               0.884,           0.0017712,           0.0021779,           0.0038908,            0.004555,            0.004555,            0.004555
                  57,           0.0071716,            0.004541,           0.0093616,             0.94401,             0.81399,             0.90581,             0.88902,           0.0013702,           0.0023148,            0.003481,            0.004456,            0.004456,            0.004456
                  58,           0.0070858,           0.0044385,           0.0088128,             0.92379,              0.7681,             0.85057,             0.82793,           0.0018544,            0.002403,            0.004381,            0.004357,            0.004357,            0.004357
                  59,           0.0074022,           0.0044046,           0.0094264,             0.87712,             0.79828,             0.87473,             0.83153,           0.0028211,             0.00201,           0.0041694,            0.004258,            0.004258,            0.004258
                  60,            0.006264,           0.0044734,           0.0096066,             0.77326,             0.85608,             0.89208,             0.87579,           0.0019394,            0.002357,           0.0041983,            0.004159,            0.004159,            0.004159
                  61,           0.0068519,           0.0044112,           0.0091648,             0.88316,             0.82458,             0.90341,             0.89594,           0.0011905,           0.0024142,           0.0035902,             0.00406,             0.00406,             0.00406
                  62,           0.0066656,           0.0042552,            0.008776,             0.87088,              0.8332,             0.90834,             0.89169,           0.0012697,           0.0024839,            0.003603,            0.003961,            0.003961,            0.003961
                  63,            0.007609,           0.0042462,            0.010134,             0.92653,             0.78681,             0.90322,             0.88689,           0.0018291,           0.0025765,           0.0035819,            0.003862,            0.003862,            0.003862
                  64,           0.0079213,           0.0044613,            0.010131,             0.88055,              0.7949,             0.87775,             0.84995,           0.0016028,           0.0022241,           0.0035485,            0.003763,            0.003763,            0.003763
                  65,           0.0059126,           0.0043656,           0.0088008,             0.87932,             0.84781,             0.91469,             0.89555,            0.001624,           0.0025273,           0.0033622,            0.003664,            0.003664,            0.003664
                  66,           0.0067207,           0.0042169,            0.008661,             0.85127,             0.85155,             0.91607,             0.89748,           0.0014873,           0.0024992,           0.0033327,            0.003565,            0.003565,            0.003565
                  67,           0.0066209,            0.004229,           0.0083452,             0.91541,             0.81109,             0.91116,             0.89612,           0.0013233,           0.0025736,           0.0035719,            0.003466,            0.003466,            0.003466
                  68,            0.007923,           0.0041022,           0.0091719,             0.90325,              0.8388,             0.91973,             0.90567,           0.0015086,           0.0024679,           0.0033286,            0.003367,            0.003367,            0.003367
                  69,           0.0073937,           0.0042832,           0.0088007,             0.89557,             0.80616,             0.88801,             0.85607,           0.0020205,           0.0026357,           0.0036809,            0.003268,            0.003268,            0.003268
                  70,           0.0073111,            0.004174,           0.0092936,             0.91526,             0.82796,              0.9087,             0.89028,           0.0018568,            0.002769,           0.0035584,            0.003169,            0.003169,            0.003169
                  71,           0.0064549,           0.0040548,            0.009628,             0.90454,              0.8385,             0.91813,             0.89891,           0.0014517,            0.002412,           0.0036791,             0.00307,             0.00307,             0.00307
                  72,            0.005907,           0.0040986,           0.0094336,             0.85037,             0.85642,              0.9024,             0.89251,           0.0012079,           0.0025261,           0.0037124,            0.002971,            0.002971,            0.002971
                  73,           0.0053406,           0.0040757,           0.0092139,             0.75803,             0.79542,             0.89888,             0.87832,           0.0015496,           0.0023792,           0.0054064,            0.002872,            0.002872,            0.002872
                  74,           0.0063312,           0.0040149,           0.0097861,             0.74105,              0.7519,             0.85608,             0.82027,           0.0018009,           0.0016593,           0.0054374,            0.002773,            0.002773,            0.002773
                  75,           0.0055261,           0.0039241,           0.0085266,             0.91558,             0.82304,             0.91055,             0.89319,           0.0015755,           0.0022202,           0.0039396,            0.002674,            0.002674,            0.002674
                  76,           0.0057477,           0.0037422,           0.0091918,             0.92041,             0.83412,             0.91681,              0.9057,           0.0012034,           0.0025272,           0.0033098,            0.002575,            0.002575,            0.002575
                  77,           0.0056463,           0.0040095,           0.0092145,             0.53998,              0.9526,             0.82439,             0.80486,           0.0016189,           0.0019354,             0.01129,            0.002476,            0.002476,            0.002476
                  78,           0.0062068,           0.0039133,           0.0093548,             0.94827,             0.83259,             0.93089,             0.90517,           0.0017413,            0.002304,           0.0031727,            0.002377,            0.002377,            0.002377
                  79,           0.0062921,           0.0040793,            0.010224,             0.90444,             0.84508,             0.91428,             0.89591,           0.0015278,           0.0022891,           0.0032881,            0.002278,            0.002278,            0.002278
                  80,           0.0063824,           0.0039345,           0.0083831,             0.91342,             0.85023,             0.92046,             0.90746,           0.0011485,            0.002361,           0.0031754,            0.002179,            0.002179,            0.002179
                  81,           0.0057373,           0.0038625,           0.0093556,             0.86331,             0.84923,             0.91919,             0.90747,           0.0011383,           0.0024185,           0.0033048,             0.00208,             0.00208,             0.00208
                  82,           0.0058043,            0.003821,           0.0094983,             0.91838,             0.82875,             0.91629,             0.91055,           0.0010693,           0.0025703,           0.0033354,            0.001981,            0.001981,            0.001981
                  83,           0.0051835,           0.0037078,           0.0080991,             0.90265,             0.83254,             0.91923,             0.90695,           0.0012054,           0.0024867,           0.0033909,            0.001882,            0.001882,            0.001882
                  84,           0.0050471,           0.0037293,           0.0090268,             0.90284,              0.8464,             0.91687,             0.90833,           0.0014417,           0.0022728,           0.0032104,            0.001783,            0.001783,            0.001783
                  85,           0.0047372,           0.0036866,           0.0087691,             0.89507,             0.85025,             0.91983,             0.91109,           0.0015445,            0.002439,           0.0031476,            0.001684,            0.001684,            0.001684
                  86,           0.0054723,           0.0036307,           0.0090602,             0.87773,             0.86043,             0.92144,             0.91537,           0.0010677,           0.0025681,           0.0031466,            0.001585,            0.001585,            0.001585
                  87,           0.0061674,            0.003611,           0.0096931,             0.92704,             0.82109,             0.91974,             0.91304,           0.0011765,           0.0024068,           0.0032248,            0.001486,            0.001486,            0.001486
                  88,           0.0063063,           0.0036624,           0.0092291,             0.89573,             0.81874,             0.90691,             0.89478,           0.0012903,           0.0021635,           0.0034206,            0.001387,            0.001387,            0.001387
                  89,           0.0051604,           0.0036217,           0.0078143,              0.9011,             0.85716,             0.91463,             0.90331,           0.0013048,           0.0023139,            0.003319,            0.001288,            0.001288,            0.001288
                  90,           0.0053215,           0.0033603,            0.008231,             0.89301,             0.86253,             0.93065,             0.91933,           0.0012571,           0.0022455,           0.0030592,            0.001189,            0.001189,            0.001189
                  91,           0.0050877,           0.0035791,           0.0089821,             0.88152,             0.86815,             0.92899,             0.92099,           0.0011101,           0.0023529,           0.0030707,             0.00109,             0.00109,             0.00109
                  92,           0.0051889,           0.0034934,           0.0089471,             0.89795,             0.85952,             0.91998,             0.91307,           0.0010504,            0.002236,           0.0034836,            0.000991,            0.000991,            0.000991
                  93,           0.0050219,           0.0035591,           0.0091303,             0.90241,             0.82342,             0.91762,             0.90942,            0.001172,           0.0024234,           0.0033037,            0.000892,            0.000892,            0.000892
                  94,            0.004802,           0.0035931,           0.0089976,             0.90597,             0.84901,             0.92171,             0.91303,           0.0012321,           0.0024551,            0.003236,            0.000793,            0.000793,            0.000793
                  95,           0.0047554,           0.0034719,           0.0084689,             0.92052,              0.8289,              0.9204,             0.91376,           0.0010403,           0.0023537,           0.0031196,            0.000694,            0.000694,            0.000694
                  96,           0.0044518,           0.0036069,           0.0076409,             0.91373,             0.85791,             0.92615,             0.91897,           0.0010743,           0.0022281,            0.003071,            0.000595,            0.000595,            0.000595
                  97,           0.0046694,           0.0034802,           0.0085007,             0.92026,             0.86253,             0.93046,             0.92583,           0.0010106,           0.0022275,           0.0030175,            0.000496,            0.000496,            0.000496
                  98,            0.004121,           0.0033935,           0.0082027,              0.9122,               0.861,             0.92592,              0.9217,          0.00094801,           0.0023855,           0.0031108,            0.000397,            0.000397,            0.000397
                  99,           0.0046432,           0.0035309,           0.0079145,             0.93194,             0.83723,             0.92282,             0.91841,          0.00098416,           0.0024221,           0.0031578,            0.000298,            0.000298,            0.000298
