epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1030.09,0.17244,0.42984,0.90887,0.84078,0.84911,0.90017,0.89815,0.14366,0.34792,0.19478,0.005743,0.005743,0.005743
45,1050.25,0.16671,0.40772,0.90035,0.48972,1,0.74629,0.70957,0.3838,2.40096,0.71308,0.005644,0.005644,0.005644
46,1070.35,0.17161,0.40674,0.90879,0.71336,0.77311,0.83854,0.81957,0.20321,0.55267,0.29212,0.005545,0.005545,0.005545
47,1090.43,0.16751,0.40805,0.90202,0.87435,0.81751,0.89767,0.88845,0.14302,0.34425,0.2057,0.005446,0.005446,0.005446
48,1109.99,0.16447,0.4079,0.90271,0.77901,0.80815,0.88275,0.86348,0.19077,0.4235,0.26687,0.005347,0.005347,0.005347
49,1129.5,0.16153,0.39563,0.89507,0.87391,0.81878,0.8924,0.88819,0.15556,0.38213,0.2336,0.005248,0.005248,0.005248
50,1149.02,0.1573,0.39743,0.90055,0.91476,0.86753,0.93192,0.92254,0.13594,0.30239,0.18606,0.005149,0.005149,0.005149
51,1168.63,0.15961,0.39459,0.90498,0.73202,0.78397,0.86748,0.83864,0.24281,0.58309,0.32801,0.00505,0.00505,0.00505
52,1188.23,0.15546,0.39328,0.90026,0.91605,0.81803,0.90756,0.90087,0.11666,0.3212,0.17021,0.004951,0.004951,0.004951
53,1207.75,0.1536,0.38094,0.90031,0.91509,0.83529,0.89028,0.88784,0.12351,0.32596,0.17935,0.004852,0.004852,0.004852
54,1227.34,0.14999,0.39593,0.90141,0.84266,0.82283,0.904,0.89384,0.16106,0.37828,0.20585,0.004753,0.004753,0.004753
55,1246.99,0.15086,0.4052,0.89693,0.89292,0.87362,0.92411,0.92359,0.11571,0.28198,0.16164,0.004654,0.004654,0.004654
56,1266.56,0.15051,0.38325,0.90069,0.84176,0.80895,0.87351,0.86437,0.14004,0.37802,0.20676,0.004555,0.004555,0.004555
57,1286.11,0.14669,0.38262,0.89316,0.85339,0.88098,0.92774,0.91672,0.11371,0.3325,0.15945,0.004456,0.004456,0.004456
58,1305.81,0.14354,0.39652,0.8984,0.67903,0.83109,0.85857,0.83868,0.19706,0.67258,0.32499,0.004357,0.004357,0.004357
59,1326.82,0.14253,0.37977,0.89464,0.8503,0.90088,0.93234,0.92373,0.13225,0.36187,0.18776,0.004258,0.004258,0.004258
60,1347.33,0.14378,0.36781,0.89648,0.92099,0.83753,0.9188,0.898,0.15691,0.32357,0.21251,0.004159,0.004159,0.004159
61,1367.45,0.1339,0.36857,0.89398,0.83839,0.84606,0.92079,0.9201,0.13105,0.35321,0.18353,0.00406,0.00406,0.00406
62,1388.29,0.13481,0.37775,0.89483,0.9093,0.85869,0.92123,0.9111,0.18048,0.33323,0.21795,0.003961,0.003961,0.003961
63,1408.09,0.13314,0.36203,0.89539,0.88535,0.84561,0.92255,0.91191,0.14352,0.319,0.19504,0.003862,0.003862,0.003862
64,1427.74,0.1337,0.37394,0.89785,0.89649,0.86146,0.92542,0.92016,0.11893,0.30678,0.17422,0.003763,0.003763,0.003763
65,1447.08,0.13112,0.3512,0.89186,0.8116,0.89456,0.92523,0.92236,0.12203,0.30392,0.17755,0.003664,0.003664,0.003664
66,1466.82,0.128,0.362,0.89228,0.83198,0.85235,0.90564,0.90484,0.12909,0.37239,0.16829,0.003565,0.003565,0.003565
67,1487.52,0.12707,0.34951,0.8887,0.92482,0.85507,0.93093,0.92579,0.1111,0.32049,0.15324,0.003466,0.003466,0.003466
68,1507.76,0.12468,0.35438,0.8922,0.91819,0.85257,0.9281,0.92633,0.12005,0.30579,0.17453,0.003367,0.003367,0.003367
69,1527.25,0.12426,0.3573,0.88691,0.79591,0.8597,0.92117,0.9117,0.12876,0.41351,0.17457,0.003268,0.003268,0.003268
70,1546.85,0.11993,0.35187,0.88701,0.92129,0.85948,0.92443,0.9229,0.1058,0.28229,0.14521,0.003169,0.003169,0.003169
71,1567.2,0.11639,0.35425,0.89163,0.83404,0.8757,0.92329,0.9209,0.11429,0.3569,0.16549,0.00307,0.00307,0.00307
72,1586.65,0.11684,0.34464,0.88701,0.91067,0.85066,0.92101,0.91902,0.10311,0.2867,0.1409,0.002971,0.002971,0.002971
73,1606.01,0.11619,0.33129,0.89385,0.914,0.83626,0.90676,0.90395,0.10712,0.31171,0.15243,0.002872,0.002872,0.002872
74,1625.4,0.1135,0.32102,0.88722,0.87804,0.87803,0.93606,0.93407,0.08435,0.2738,0.1302,0.002773,0.002773,0.002773
75,1644.86,0.11232,0.33347,0.89011,0.70155,0.89633,0.90819,0.90505,0.12562,0.55432,0.17751,0.002674,0.002674,0.002674
76,1664.38,0.10875,0.33412,0.89152,0.91537,0.82782,0.92077,0.91772,0.11834,0.32165,0.15541,0.002575,0.002575,0.002575
77,1683.7,0.10682,0.32389,0.88543,0.91026,0.80852,0.91046,0.90973,0.11359,0.31278,0.15859,0.002476,0.002476,0.002476
78,1703.22,0.10852,0.33531,0.88604,0.86165,0.85957,0.92486,0.92486,0.0893,0.30079,0.12894,0.002377,0.002377,0.002377
79,1723.1,0.10851,0.33817,0.8897,0.86751,0.86258,0.92518,0.92518,0.09583,0.29333,0.14315,0.002278,0.002278,0.002278
80,1743.04,0.10516,0.31669,0.88849,0.86122,0.86994,0.92767,0.92752,0.08762,0.29614,0.14775,0.002179,0.002179,0.002179
81,1762.98,0.10373,0.31907,0.8845,0.90048,0.86607,0.92336,0.9222,0.08997,0.3037,0.1423,0.00208,0.00208,0.00208
82,1782.9,0.1046,0.32478,0.88873,0.86314,0.8574,0.93461,0.93461,0.08423,0.30359,0.1283,0.001981,0.001981,0.001981
83,1802.83,0.09978,0.32964,0.88246,0.83692,0.8903,0.93541,0.93497,0.07861,0.32179,0.12469,0.001882,0.001882,0.001882
