               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027337,           0.0097197,           0.0042221,             0.87745,             0.70378,             0.85231,              0.7379,            0.015892,           0.0049127,           0.0025334,            0.006535,            0.006535,            0.006535
                  37,            0.027129,            0.009692,           0.0042638,             0.83263,             0.70386,             0.83423,             0.73339,            0.015612,           0.0051776,           0.0024845,            0.006436,            0.006436,            0.006436
                  38,            0.026404,            0.009373,           0.0044804,             0.89446,             0.68716,             0.84196,             0.74881,            0.015652,           0.0049285,           0.0022313,            0.006337,            0.006337,            0.006337
                  39,            0.026413,           0.0090913,           0.0042846,             0.88974,              0.7009,             0.84121,             0.74462,            0.015381,           0.0049875,           0.0024051,            0.006238,            0.006238,            0.006238
                  40,            0.026473,           0.0093111,           0.0040897,             0.86807,             0.72125,             0.84918,             0.76236,            0.015067,           0.0048163,           0.0021959,            0.006139,            0.006139,            0.006139
                  41,            0.026133,           0.0091254,           0.0040812,             0.87929,              0.7156,             0.85817,             0.75741,            0.015529,           0.0050656,           0.0020893,             0.00604,             0.00604,             0.00604
                  42,            0.025862,           0.0088787,           0.0042729,             0.80546,             0.68217,             0.82533,              0.7344,            0.015016,            0.005184,           0.0026431,            0.005941,            0.005941,            0.005941
                  43,            0.025438,           0.0094438,           0.0042894,             0.92654,             0.68476,             0.84138,              0.7359,            0.015264,           0.0051271,            0.002244,            0.005842,            0.005842,            0.005842
                  44,            0.025435,           0.0092065,           0.0041846,             0.89441,             0.66463,             0.83442,             0.72081,            0.015569,           0.0052494,            0.002664,            0.005743,            0.005743,            0.005743
                  45,            0.025662,           0.0092239,           0.0042449,             0.86319,             0.71391,             0.84968,             0.75307,            0.015633,           0.0052435,           0.0021748,            0.005644,            0.005644,            0.005644
                  46,             0.02576,           0.0088825,           0.0040185,             0.83949,              0.7236,             0.85566,             0.76553,            0.015497,           0.0053675,           0.0021063,            0.005545,            0.005545,            0.005545
                  47,            0.025676,           0.0090332,           0.0039837,             0.88947,             0.68572,              0.8398,             0.73963,            0.015603,           0.0052673,           0.0022704,            0.005446,            0.005446,            0.005446
                  48,            0.024762,           0.0086904,           0.0043212,             0.86504,             0.70566,              0.8492,             0.75625,            0.014821,           0.0050645,           0.0022464,            0.005347,            0.005347,            0.005347
                  49,            0.024783,           0.0087609,           0.0042614,             0.86511,             0.70651,             0.84369,             0.74643,            0.014792,           0.0048757,           0.0022121,            0.005248,            0.005248,            0.005248
                  50,            0.024174,           0.0088465,           0.0038301,             0.84159,             0.75195,             0.85857,             0.76254,            0.014503,           0.0051483,           0.0021061,            0.005149,            0.005149,            0.005149
                  51,            0.025073,           0.0086297,           0.0038477,              0.8689,             0.72181,             0.85051,             0.75276,            0.014726,           0.0051248,           0.0022536,             0.00505,             0.00505,             0.00505
                  52,            0.024367,           0.0085881,            0.003926,             0.89499,             0.69742,             0.86023,             0.74892,            0.014796,           0.0049582,           0.0021861,            0.004951,            0.004951,            0.004951
                  53,            0.023615,           0.0084524,           0.0039538,             0.85719,             0.71879,             0.85629,             0.76756,            0.015051,           0.0053779,            0.002185,            0.004852,            0.004852,            0.004852
                  54,            0.024007,           0.0088608,           0.0036663,             0.90616,              0.7038,             0.85909,             0.76441,            0.014573,            0.005163,           0.0020118,            0.004753,            0.004753,            0.004753
                  55,             0.02427,           0.0084238,           0.0038894,             0.88719,             0.69569,              0.8452,             0.75968,            0.014486,           0.0051496,           0.0022703,            0.004654,            0.004654,            0.004654
                  56,            0.024332,            0.008454,           0.0039234,             0.88854,             0.72572,             0.86021,             0.76855,            0.014867,           0.0053041,           0.0020628,            0.004555,            0.004555,            0.004555
                  57,            0.023191,           0.0084906,           0.0040149,             0.88065,             0.74473,             0.88157,              0.7812,            0.014596,           0.0052886,           0.0020865,            0.004456,            0.004456,            0.004456
                  58,            0.022706,           0.0080315,           0.0040547,             0.82554,             0.75776,             0.86218,             0.77461,            0.014908,           0.0052196,            0.002072,            0.004357,            0.004357,            0.004357
                  59,            0.023734,           0.0084115,           0.0037843,             0.89916,             0.69882,             0.86025,             0.77689,            0.014496,           0.0053168,           0.0020751,            0.004258,            0.004258,            0.004258
                  60,            0.023152,           0.0082349,           0.0040498,             0.84327,             0.72729,             0.85502,              0.7573,            0.014557,           0.0049785,           0.0023533,            0.004159,            0.004159,            0.004159
                  61,            0.022917,            0.008251,           0.0037653,             0.88443,             0.72966,             0.86665,             0.77756,            0.014217,           0.0050228,           0.0019625,             0.00406,             0.00406,             0.00406
                  62,            0.023051,           0.0078517,           0.0038923,             0.89849,             0.70316,             0.84674,             0.76246,            0.014304,           0.0051555,           0.0021291,            0.003961,            0.003961,            0.003961
                  63,             0.02293,           0.0081661,           0.0038152,             0.88955,             0.70385,             0.84635,             0.76223,            0.014622,           0.0051486,           0.0021449,            0.003862,            0.003862,            0.003862
                  64,            0.022065,           0.0083809,           0.0037048,             0.88131,             0.70578,             0.86595,             0.78099,            0.014232,           0.0052083,           0.0020608,            0.003763,            0.003763,            0.003763
                  65,            0.022407,           0.0082981,           0.0038594,             0.91504,             0.67912,             0.85524,             0.77814,            0.014283,           0.0052372,           0.0021431,            0.003664,            0.003664,            0.003664
                  66,            0.022873,           0.0080514,           0.0037848,             0.72505,             0.70267,             0.82858,              0.7278,            0.014361,           0.0048804,           0.0035469,            0.003565,            0.003565,            0.003565
                  67,            0.022524,           0.0083533,           0.0037651,             0.87053,             0.69909,             0.85464,             0.77392,            0.014702,           0.0052673,           0.0022153,            0.003466,            0.003466,            0.003466
                  68,            0.021828,           0.0079981,           0.0038211,             0.85846,             0.74168,             0.86062,             0.77466,            0.014309,           0.0053175,           0.0020956,            0.003367,            0.003367,            0.003367
                  69,            0.021579,           0.0079233,           0.0037952,             0.90907,             0.69961,             0.85605,             0.76969,            0.014229,           0.0052289,           0.0021181,            0.003268,            0.003268,            0.003268
                  70,             0.02202,           0.0081608,           0.0035545,             0.90089,             0.71594,             0.85278,             0.76872,            0.014279,           0.0051007,           0.0020766,            0.003169,            0.003169,            0.003169
                  71,            0.021525,           0.0078433,           0.0035766,             0.92186,              0.7069,             0.86358,             0.78394,            0.013745,           0.0050879,           0.0020025,             0.00307,             0.00307,             0.00307
                  72,            0.021743,           0.0080283,           0.0033151,             0.85312,              0.7376,             0.85857,             0.77932,            0.014335,           0.0054359,           0.0019885,            0.002971,            0.002971,            0.002971
                  73,            0.021311,           0.0076269,           0.0035135,             0.84411,             0.76245,             0.86546,             0.77412,            0.014532,           0.0053009,           0.0019879,            0.002872,            0.002872,            0.002872
                  74,            0.020641,           0.0074482,           0.0037205,             0.87407,             0.71501,             0.86404,             0.76762,            0.014706,           0.0053877,           0.0021021,            0.002773,            0.002773,            0.002773
                  75,            0.021215,           0.0077175,           0.0034566,             0.82842,             0.77133,               0.862,             0.77247,             0.01426,           0.0051385,           0.0021508,            0.002674,            0.002674,            0.002674
                  76,            0.020657,           0.0076829,           0.0035692,             0.83544,             0.76432,             0.86066,             0.78027,            0.014253,           0.0054766,           0.0021253,            0.002575,            0.002575,            0.002575
                  77,            0.020209,           0.0076172,           0.0035154,             0.81893,             0.74215,             0.86632,             0.78112,            0.014185,           0.0052855,           0.0021125,            0.002476,            0.002476,            0.002476
                  78,            0.020358,            0.007296,           0.0034226,             0.83985,             0.75259,             0.85632,             0.77565,            0.014408,           0.0052527,           0.0023262,            0.002377,            0.002377,            0.002377
                  79,            0.020665,           0.0077051,           0.0033697,             0.85045,             0.76162,             0.86743,             0.78821,            0.013991,            0.005188,            0.001986,            0.002278,            0.002278,            0.002278
                  80,            0.020071,           0.0075909,            0.003618,             0.92155,             0.70339,             0.86719,             0.78688,            0.014065,           0.0053828,           0.0019628,            0.002179,            0.002179,            0.002179
                  81,            0.020545,            0.007763,           0.0032282,             0.87267,             0.73175,             0.86331,             0.78437,            0.014011,           0.0053597,           0.0020553,             0.00208,             0.00208,             0.00208
                  82,            0.020102,            0.007378,           0.0034904,             0.82924,             0.75715,             0.86519,             0.77932,            0.014279,           0.0055299,           0.0020839,            0.001981,            0.001981,            0.001981
                  83,            0.019555,           0.0075625,           0.0036608,              0.8797,             0.74776,             0.86659,             0.78417,             0.01377,           0.0053542,           0.0020453,            0.001882,            0.001882,            0.001882
                  84,            0.019715,           0.0072949,           0.0035069,             0.88385,             0.74685,             0.86935,             0.78549,             0.01402,           0.0055087,             0.00195,            0.001783,            0.001783,            0.001783
                  85,             0.01914,           0.0072835,           0.0033931,             0.78575,              0.7783,             0.86677,             0.78442,            0.014092,           0.0053433,           0.0023928,            0.001684,            0.001684,            0.001684
                  86,             0.01922,           0.0073581,           0.0033905,              0.8284,             0.76473,             0.86752,             0.78632,            0.014139,           0.0053175,           0.0020481,            0.001585,            0.001585,            0.001585
                  87,            0.019591,           0.0072105,           0.0034339,             0.88038,              0.7424,             0.86594,             0.78381,            0.013889,           0.0054569,           0.0020455,            0.001486,            0.001486,            0.001486
                  88,            0.019372,           0.0072868,           0.0033248,             0.86414,             0.71797,             0.86109,             0.77665,            0.014084,           0.0053287,           0.0021565,            0.001387,            0.001387,            0.001387
                  89,            0.018709,           0.0073234,            0.003319,             0.87898,             0.73135,             0.86233,             0.78742,            0.013641,           0.0052743,           0.0020934,            0.001288,            0.001288,            0.001288
                  90,            0.019069,           0.0072492,           0.0032943,             0.84822,             0.77889,             0.87332,             0.79747,            0.013652,           0.0053318,           0.0019649,            0.001189,            0.001189,            0.001189
                  91,            0.018615,           0.0071352,           0.0034189,             0.84113,             0.77739,             0.87007,             0.78921,             0.01383,           0.0053656,           0.0020548,             0.00109,             0.00109,             0.00109
                  92,            0.018541,            0.006987,           0.0031505,             0.83397,             0.76207,             0.86981,             0.79268,            0.013582,           0.0053102,           0.0019623,            0.000991,            0.000991,            0.000991
                  93,            0.018751,           0.0069782,           0.0031909,             0.83061,             0.77923,             0.86804,             0.78835,            0.013688,           0.0054237,           0.0019886,            0.000892,            0.000892,            0.000892
                  94,            0.018617,           0.0070882,           0.0032355,              0.8637,             0.76351,             0.87418,             0.79411,            0.013666,           0.0052753,           0.0019529,            0.000793,            0.000793,            0.000793
                  95,            0.018123,           0.0068504,            0.003224,             0.88392,             0.74305,             0.87163,             0.79429,            0.013837,           0.0054746,           0.0019712,            0.000694,            0.000694,            0.000694
                  96,             0.01856,           0.0067729,           0.0029702,             0.87341,             0.75571,              0.8728,             0.79995,            0.013637,           0.0053612,           0.0020527,            0.000595,            0.000595,            0.000595
                  97,            0.017808,           0.0069473,           0.0032386,             0.92894,             0.70445,             0.87823,             0.80221,            0.013616,           0.0054028,           0.0019375,            0.000496,            0.000496,            0.000496
                  98,             0.01759,           0.0068645,           0.0034215,             0.87658,             0.75178,             0.87708,             0.80195,            0.013449,           0.0054044,           0.0019038,            0.000397,            0.000397,            0.000397
                  99,             0.01795,           0.0067364,            0.003278,             0.86571,             0.74753,             0.87582,             0.80102,              0.0135,           0.0054167,           0.0019055,            0.000298,            0.000298,            0.000298
